District Name;Stadt or Landkreis;cases per 100k;IR 7 per 100k;Population;cases;Last Update Date;AGS-Number
Bad Dürkheim;Landkreis;2922.26635813403;133.412727724974;132671.0;3877.0;21.04.2021, 00:00 Uhr;07332
Donnersbergkreis;Landkreis;2786.59143710587;167.275141055426;75325.0;2099.0;21.04.2021, 00:00 Uhr;07333
Germersheim;Landkreis;3782.56454775875;150.372443087131;129013.0;4880.0;21.04.2021, 00:00 Uhr;07334
Kaiserslautern;Landkreis;3103.44502212703;131.158059615584;105979.0;3289.0;21.04.2021, 00:00 Uhr;07335
Kusel;Landkreis;2641.73514291004;54.1164072402056;70219.0;1855.0;21.04.2021, 00:00 Uhr;07336
Südliche Weinstraße;Landkreis;2779.56225513703;114.005483120855;110521.0;3072.0;21.04.2021, 00:00 Uhr;07337
Rhein-Pfalz-Kreis;Landkreis;3749.45831096508;122.890646728198;154609.0;5797.0;21.04.2021, 00:00 Uhr;07338
Mainz-Bingen;Landkreis;3020.09772156449;118.249715018187;211417.0;6385.0;21.04.2021, 00:00 Uhr;07339
Südwestpfalz;Landkreis;2429.58526220329;74.870031951577;94831.0;2304.0;21.04.2021, 00:00 Uhr;07340
Stuttgart;Stadtkreis;3762.79070498859;207.733472136824;635911.0;23928.0;21.04.2021, 00:00 Uhr;08111
Böblingen;Landkreis;3582.93003943412;158.347483624274;392807.0;14074.0;21.04.2021, 00:00 Uhr;08115
Esslingen;Landkreis;4024.8661742277;176.44068303478;535024.0;21534.0;21.04.2021, 00:00 Uhr;08116
Göppingen;Landkreis;3882.31420325786;243.661508067172;258145.0;10022.0;21.04.2021, 00:00 Uhr;08117
Ludwigsburg;Landkreis;4010.46527190823;188.660910889346;545423.0;21874.0;21.04.2021, 00:00 Uhr;08118
Rems-Murr-Kreis;Landkreis;3841.32868966034;193.564393513837;427248.0;16412.0;21.04.2021, 00:00 Uhr;08119
Heilbronn;Stadtkreis;5676.50404448938;288.327856420627;126592.0;7186.0;21.04.2021, 00:00 Uhr;08121
Heilbronn;Landkreis;3868.12829505075;290.603153958706;344456.0;13324.0;21.04.2021, 00:00 Uhr;08125
Hohenlohekreis;Landkreis;3951.00084328259;212.152145932271;112655.0;4451.0;21.04.2021, 00:00 Uhr;08126
Schwäbisch Hall;Landkreis;4858.17819588231;240.901398142925;196761.0;9559.0;21.04.2021, 00:00 Uhr;08127
Main-Tauber-Kreis;Landkreis;3407.12543146096;129.155054041194;132399.0;4511.0;21.04.2021, 00:00 Uhr;08128
Heidenheim;Landkreis;3430.56402840853;233.474170978407;132777.0;4555.0;21.04.2021, 00:00 Uhr;08135
Ostalbkreis;Landkreis;3964.6524958204;219.727728684022;314025.0;12450.0;21.04.2021, 00:00 Uhr;08136
Baden-Baden;Stadtkreis;3156.65488810365;170.336142067591;55185.0;1742.0;21.04.2021, 00:00 Uhr;08211
Karlsruhe;Stadtkreis;2884.06075754663;132.666794847145;312060.0;9000.0;21.04.2021, 00:00 Uhr;08212
Karlsruhe;Landkreis;3523.46995401044;147.157611418532;445101.0;15683.0;21.04.2021, 00:00 Uhr;08215
Rastatt;Landkreis;3622.85022902083;197.044334975369;231420.0;8384.0;21.04.2021, 00:00 Uhr;08216
Heidelberg;Stadtkreis;2895.62498064836;113.942471436976;161485.0;4676.0;21.04.2021, 00:00 Uhr;08221
Mannheim;Stadtkreis;4523.62404959795;202.151562168043;310658.0;14053.0;21.04.2021, 00:00 Uhr;08222
Neckar-Odenwald-Kreis;Landkreis;3682.99763981815;155.95301915298;143633.0;5290.0;21.04.2021, 00:00 Uhr;08225
Rhein-Neckar-Kreis;Landkreis;3550.61958038132;144.9790737752;548355.0;19470.0;21.04.2021, 00:00 Uhr;08226
Pforzheim;Stadtkreis;4911.9937756536;178.632390418953;125957.0;6187.0;21.04.2021, 00:00 Uhr;08231
Calw;Landkreis;4244.94821012431;150.752821904385;159201.0;6758.0;21.04.2021, 00:00 Uhr;08235
Enzkreis;Landkreis;3941.75068652408;227.003948766261;199556.0;7866.0;21.04.2021, 00:00 Uhr;08236
Freudenstadt;Landkreis;3671.25326657815;161.531760865337;118243.0;4341.0;21.04.2021, 00:00 Uhr;08237
Freiburg im Breisgau;Stadtkreis;2800.66610437077;74.3960725794243;231195.0;6475.0;21.04.2021, 00:00 Uhr;08311
Breisgau-Hochschwarzwald;Landkreis;2900.59597649478;69.8024666067276;263601.0;7646.0;21.04.2021, 00:00 Uhr;08315
Emmendingen;Landkreis;3315.34541608577;85.3324359405798;166408.0;5517.0;21.04.2021, 00:00 Uhr;08316
Ortenaukreis;Landkreis;3810.85640429467;136.441792956541;430953.0;16423.0;21.04.2021, 00:00 Uhr;08317
Rottweil;Landkreis;4513.21866197687;247.358412330745;139878.0;6313.0;21.04.2021, 00:00 Uhr;08325
Schwarzwald-Baar-Kreis;Landkreis;3548.60568642768;152.936858253414;212506.0;7541.0;21.04.2021, 00:00 Uhr;08326
Tuttlingen;Landkreis;4292.94005654775;237.983603995283;140766.0;6043.0;21.04.2021, 00:00 Uhr;08327
Konstanz;Landkreis;3455.40594820209;157.873596339568;286305.0;9893.0;21.04.2021, 00:00 Uhr;08335
Lörrach;Landkreis;3823.62199216564;95.3063794068271;228736.0;8746.0;21.04.2021, 00:00 Uhr;08336
Waldshut;Landkreis;3689.40895773758;92.9808248978088;171003.0;6309.0;21.04.2021, 00:00 Uhr;08337
Reutlingen;Landkreis;3984.19699408432;151.898381376422;287034.0;11436.0;21.04.2021, 00:00 Uhr;08415
Tübingen;Landkreis;3385.10919283884;182.789774267748;228678.0;7741.0;21.04.2021, 00:00 Uhr;08416
Zollernalbkreis;Landkreis;3651.7165444147;175.852727301532;189363.0;6915.0;21.04.2021, 00:00 Uhr;08417
Ulm;Stadtkreis;3612.27226121934;198.753844940453;126790.0;4580.0;21.04.2021, 00:00 Uhr;08421
Alb-Donau-Kreis;Landkreis;3648.33871196899;185.207737116645;197076.0;7190.0;21.04.2021, 00:00 Uhr;08425
Biberach;Landkreis;3387.7843026202;168.917240488469;201282.0;6819.0;21.04.2021, 00:00 Uhr;08426
Bodenseekreis;Landkreis;2910.74630983584;119.556720467191;217470.0;6330.0;21.04.2021, 00:00 Uhr;08435
Ravensburg;Landkreis;3090.48993777678;150.302707550872;285424.0;8821.0;21.04.2021, 00:00 Uhr;08436
Sigmaringen;Landkreis;3498.68932892112;169.661212542702;130849.0;4578.0;21.04.2021, 00:00 Uhr;08437
Ingolstadt;Kreisfreie Stadt;3747.67089786887;195.062303482008;137392.0;5149.0;21.04.2021, 00:00 Uhr;09161
München;Kreisfreie Stadt;4381.13872146156;156.51255267055;1484226.0;65026.0;21.04.2021, 00:00 Uhr;09162
